87 10 0.5625 0.5 3 4 3 4 4 4 4 2 4 4 4 4 4 3 3 2 4 2 3
88 1 0.375 0.375 2.9 2 3 2 2 2 2 1 3 1 2 4 2 3 3 2 2 4 2
89 10 1 0.6875 4.3 5 4 4 4 3 4 2 4 4 5 4 4 4 2 2 2 3 3
90 1 0.5 0.375 3.3 3 1 4 2 5 2 2 2 3 4 4 3 4 4 1 2 4 2
91 1 0.375 0.375 3 4 2 2 2 2 2 2 3 3 4 2 2 2 4 4 2 3 3
92 1 0.625 0.375 2.8 4 2 3 2 3 3 2 4 4 4 4 4 2 3 2 2 3 3
93 10 0.5 0.3125 3.4 4 4 4 3 3 4 1 5 3 2 4 3 4 5 4 2 1 5
94 10 0.75 0.5625 2.8 4 2 1 2 4 4 2 5 2 2 4 4 2 4 2 2 4 2
95 10 0.5625 0.4375 2.8 3 2 3 2 3 2 3 3 3 1 3 2 3 2 3 2 2 2
96 10 0.3125 0.3125 2.9 2 2 3 2 2 3 2 3 3 2 4 4 2 2 4 2 2 2
97 10 0.6875 0.5 2.7 3 1 1 2 1 3 1 3 3 2 4 2 2 3 2 2 2 1
